叹
回复 @R: 其实人挺好的，不要以圣人的标准要求人
回复 @汪汪: 对！
回复 @。: 嗯嗯 // @。 回复 @自律 : 不好意思各位，让职业黑在这贩剑，已拉黑处理
上一次分手了听薛之谦的歌，我哭了；这次分手了听薛之谦的歌，我笑了
后来她有意无意猝不及防的出现在我生活的点点滴滴里
回复 @月色: 哪里？
回复 @好きです: 人家说的是听歌不要钱
回复 @好きです: 下载要钱和不要钱不一样吗？
回复 @好きです: 被人吗 那个是收录在电视专辑里的 没办法… 但是可以免费听的了
第一次，谦谦的歌下载要钱
回复 @自律: 不好意思各位，让职业黑在这贩剑，已拉黑处理
“我在贩卖日落，你像神明一样慷慨地将光洒向我，从此人间被点亮。后来才发现那是我眼睛里的光，可那又如何，我爱慕的是你，而非你发着光的模样”
她不知道那个男孩是我的命
回复 @张耳朵: 又一年快到啦
抽烟的王源最man了
回复 @SSS💋: 嘿，好有缘，在微博也经常看到你
"回复 @永远支持肖战: Your beautiful people and gods are indignant, and God forbid it. // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
回复 @永远支持肖战: I decided to lose weight tomorrow // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?
回复 @永远支持肖战: You can't touch my bestie. // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?
"回复 @永远支持肖战: You are such a lovely child, which little brother will be cheaper? // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
回复 @永远支持肖战: Roar! Love! Love! Love! // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?
"回复 @永远支持肖战: You win, I will accompany you to the world, you lose, I will accompany you to make a comeback // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
"回复 @永远支持肖战: You are the Muse's Kiss, Venus'masterpiece // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
"回复 @永远支持肖战: I want to give you the best in the world, but I find that the best in the world is you // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
"回复 @永远支持肖战: We will all succeed because we have the two most important things, you and I. // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
回复 @永远支持肖战: Don't touch me. I don't care. // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?
"回复 @永远支持肖战: You are the fairy, Ben Xian. You are the fairy, Ben Xian. // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
"回复 @永远支持肖战: Shut up, you beautiful girl // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
"回复 @永远支持肖战: Ah, he is my aesthetic man. // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
回复 @永远支持肖战: I have my best friend to protect him. // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?
"回复 @永远支持肖战: Your beautiful people and gods are indignant, and God forbid it. // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
"回复 @永远支持肖战: You are such a lovely child, which little brother will be cheaper? // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
"回复 @永远支持肖战: Together, together // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
"回复 @永远支持肖战: You are the Muse's Kiss, Venus'masterpiece // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
"回复 @永远支持肖战: Don't make me cry, you can't afford it. // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
"回复 @永远支持肖战: I want to give you the best in the world, but I find that the best in the world is you // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
回复 @永远支持肖战: Beep // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?
"回复 @永远支持肖战: Sister's smile, you can't Baidu. // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
"回复 @永远支持肖战: We will all succeed because we have the two most important things, you and I. // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
回复 @永远支持肖战: Hiccup ~ // @永远支持肖战 回复 @永远支持肖战 : I have something to play. I have nothing to do.
"回复 @永远支持肖战: Shut up, you beautiful girl // @永远支持肖战 回复 @永远支持肖战 : I have something to play. I have nothing to do."
"回复 @予你满树摇光: You are the Muse's Kiss, Venus'masterpiece // @予你满树摇光 回复 : I ’ ll be here any time, do you want to confess your love to me?"
"回复 @予你满树摇光: You are the best. // @予你满树摇光 回复 : I ’ ll be here any time, do you want to confess your love to me?"
"回复 @予你满树摇光: I want to give you the best in the world, but find that the best in the world is that you want to give you the best in the world, but find that the best in the world is that you want to give you the best in the world, but find // @予你满树摇光 回复 : I ’ ll be here any time, do you want to confess your love to me?"
"回复 @予你满树摇光: I want to give you the best in the world, but I find that the best in the world is you // @予你满树摇光 回复 : I ’ ll be here any time, do you want to confess your love to me?"
"回复 @予你满树摇光: We will all succeed because we have the two most important things, you and I. // @予你满树摇光 回复 : I ’ ll be here any time, do you want to confess your love to me?"
"回复 @予你满树摇光: You're the only one who's not good. // @予你满树摇光 回复 : I ’ ll be here any time, do you want to confess your love to me?"
"回复 @予你满树摇光: You are the fairy, Ben Xian. // @予你满树摇光 回复 : I ’ ll be here any time, do you want to confess your love to me?"
"回复 @予你满树摇光: Here's to our false friendship // @予你满树摇光 回复 : I ’ ll be here any time, do you want to confess your love to me?"
"回复 @永远支持肖战: We will all succeed because we have the two most important things, you and I. // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
回复 @永远支持肖战: Don't touch me. I don't care. // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?
"回复 @永远支持肖战: You are the fairy, Ben Xian. You are the fairy, Ben Xian. // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
"回复 @永远支持肖战: Shut up, you beautiful girl // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
"回复 @永远支持肖战: Ah, he is my aesthetic man. // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
回复 @永远支持肖战: I have my best friend to protect him. // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?
"回复 @永远支持肖战: Your beautiful people and gods are indignant, and God forbid it. // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
"回复 @永远支持肖战: You are such a lovely child, which little brother will be cheaper? // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
"回复 @永远支持肖战: Together, together // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
"回复 @永远支持肖战: You are the Muse's Kiss, Venus'masterpiece // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
"回复 @永远支持肖战: Don't make me cry, you can't afford it. // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
"回复 @永远支持肖战: I want to give you the best in the world, but I find that the best in the world is you // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
回复 @永远支持肖战: Beep // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?
"回复 @永远支持肖战: Sister's smile, you can't Baidu. // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
"回复 @永远支持肖战: We will all succeed because we have the two most important things, you and I. // @永远支持肖战 回复 @永远支持肖战 : Do I have no culture or do you know the word?"
回复 @永远支持肖战: Hiccup ~ // @永远支持肖战 回复 @永远支持肖战 : I have something to play. I have nothing to do.
"回复 @永远支持肖战: Shut up, you beautiful girl // @永远支持肖战 回复 @永远支持肖战 : I have something to play. I have nothing to do."
"回复 @予你满树摇光: You are the Muse's Kiss, Venus'masterpiece // @予你满树摇光 回复 : I ’ ll be here any time, do you want to confess your love to me?"
"回复 @予你满树摇光: You are the best. // @予你满树摇光 回复 : I ’ ll be here any time, do you want to confess your love to me?"
"回复 @予你满树摇光: I want to give you the best in the world, but find that the best in the world is that you want to give you the best in the world, but find that the best in the world is that you want to give you the best in the world, but find // @予你满树摇光 回复 : I ’ ll be here any time, do you want to confess your love to me?"
"回复 @予你满树摇光: I want to give you the best in the world, but I find that the best in the world is you // @予你满树摇光 回复 : I ’ ll be here any time, do you want to confess your love to me?"
"回复 @予你满树摇光: We will all succeed because we have the two most important things, you and I. // @予你满树摇光 回复 : I ’ ll be here any time, do you want to confess your love to me?"
"回复 @予你满树摇光: You're the only one who's not good. // @予你满树摇光 回复 : I ’ ll be here any time, do you want to confess your love to me?"
"回复 @予你满树摇光: You are the fairy, Ben Xian. // @予你满树摇光 回复 : I ’ ll be here any time, do you want to confess your love to me?"
"回复 @予你满树摇光: Here's to our false friendship // @予你满树摇光 回复 : I ’ ll be here any time, do you want to confess your love to me?"
"回复 @予你满树摇光: Here's to our false friendship // @予你满树摇光 回复 : I ’ ll be here any time, do you want to confess your love to me?"
"回复 @予你满树摇光: Shut up, you beautiful girl // @予你满树摇光 回复 : I ’ ll be here any time, do you want to confess your love to me?"
