薛之谦热门歌曲以及评论数：,
天外来物,449670条
我好像在哪见过你,291857条
耗尽,152192条
演员,289203条
怪咖,101560条
刚刚好,204372条
绅士,196408条
意外,132296条
其实,169134条
那是你离开了北京的生活,134576条
