刘大壮热门歌曲以及评论数：
会不会（吉他版）:346503条
我很好（吉他版）:113454条
假装 (吉他版):16276条
三号线（吉他版）:68633条
秋天不回来 :23784条
可惜不是你:31383条
欢:25117条
吉他初恋:4692条
忘不了的是你:47880条
天使的翅膀:19061条
